# start	end	mode	name  (end = start+size-1; 0 = size unknown)
0x0802C06C	0x00000000	thumb	sub_802C06C
0x0802C7F4	0x00000000	thumb	sub_802C7F4
0x0802CB7C	0x00000000	thumb	sub_802CB7C
0x0802CEA4	0x00000000	thumb	sub_802CEA4
0x0802CF78	0x00000000	thumb	sub_802CF78
0x0802D07C	0x00000000	thumb	sub_802D07C
0x0802D0A4	0x00000000	thumb	sub_802D0A4
0x0802D0DC	0x0802D2B9	thumb	AgbMain
0x0802D2BC	0x0802D323	thumb	vblankHandler
0x0802D324	0x0802D32D	thumb	vcountHandler
0x0802D330	0x0802D397	thumb	initKeys
0x0802D398	0x0802D435	thumb	updateKeys
0x0802D438	0x0802D457	thumb	main_setKeyRepeat
0x0802D458	0x0802D47B	thumb	main_getKeys
0x0802D47C	0x0802D49F	thumb	main_getTriggerKeys
0x0802D4A0	0x0802D4C3	thumb	main_getRepeatTriggerKeys
0x0802D4C4	0x0802D4EB	thumb	main_checkKeys
0x0802D4EC	0x0802D513	thumb	main_checkKeysTriggered
0x0802D514	0x0802D53B	thumb	main_checkKeysRepeatTriggered
0x0802D53C	0x0802D55F	thumb	main_configureIoRegs
0x0802D560	0x0802D579	thumb	main_waitVBlankFlag
0x0802D57C	0x0802D595	thumb	main_waitNotVBlankFlag
0x0802D598	0x0802D5BF	thumb	main_copyThumbFunc
0x0802D5C0	0x0802D5CF	thumb	main_seedRandom
0x0802D5D0	0x0802D5EF	thumb	main_getRandom
0x0802D5F0	0x0802D5F1	thumb	main_dummyIrqHandler
0x0802D5F4	0x0802D603	thumb	main_getVBlankCheckFlag
0x0802D604	0x0802D61B	thumb	main_restoreVBlankCheckFlag
0x0802D61C	0x0802D647	thumb	main_frameProc
0x0802D648	0x0802D657	thumb	main_increaseFrameCounter
0x0802D658	0x0802D66F	thumb	main_setVBlankCheckFlag
0x0802D670	0x0802D67B	thumb	main_getFrameCounter
0x0802D67C	0x0802D687	thumb	main_setFrameCounter
0x0802D688	0x0802D6AD	thumb	frmheap_init
0x0802D6B0	0x0802D6B5	thumb	frmheap_reset
0x0802D6B8	0x0802D707	thumb	frmheap_calloc
0x0802D708	0x00000000	thumb	sub_802D708
0x0802D764	0x00000000	thumb	sio2_vblank
0x0802D82C	0x00000000	thumb	sio2_update
0x0802DC30	0x00000000	thumb	sub_802DC30
0x0802DC44	0x00000000	thumb	sio2_stop
0x0802DC88	0x00000000	thumb	sub_802DC88
0x0802DCB4	0x00000000	thumb	sub_802DCB4
0x0802DCF0	0x00000000	thumb	sub_802DCF0
0x0802DF08	0x00000000	thumb	sub_802DF08
0x0802E010	0x00000000	thumb	sub_802E010
0x0802E0D4	0x00000000	thumb	sub_802E0D4
0x0802E1C4	0x00000000	thumb	sub_802E1C4
0x0802E2A8	0x00000000	thumb	sub_802E2A8
0x0802E4DC	0x00000000	thumb	sub_802E4DC
0x0802E548	0x00000000	thumb	sub_802E548
0x0802E5C4	0x00000000	thumb	sub_802E5C4
0x0802E5E8	0x00000000	thumb	sub_802E5E8
0x0802E60C	0x00000000	thumb	sub_802E60C
0x0802E628	0x00000000	thumb	sub_802E628
0x0802E630	0x0802E63B	thumb	pltt_getBuffer
0x0802E63C	0x0802E667	thumb	pltt_clearBuffer
0x0802E668	0x0802E673	thumb	pltt_setDirtyFlag
0x0802E674	0x0802E6A3	thumb	pltt_copyBufferToHw
0x0802E6A4	0x0802E6AF	thumb	map_getBufferPtr
0x0802E6B0	0x0802E6C3	thumb	map_getBufferPtr2d
0x0802E6C4	0x0802E6D3	thumb	map_setBufferDestination
0x0802E6D4	0x0802E6FB	thumb	map_clearBuffer
0x0802E6FC	0x0802E70F	thumb	map_setBufferDirty
0x0802E710	0x0802E777	thumb	map_copyBuffersToHw
0x0802E778	0x00000000	thumb	sub_802E778
0x0802E8B8	0x00000000	thumb	sub_802E8B8
0x0802EA9C	0x00000000	thumb	sub_802EA9C
0x0802EAEC	0x00000000	thumb	sub_802EAEC
0x0802EBC0	0x00000000	thumb	sub_802EBC0
0x0802EC38	0x00000000	thumb	sub_802EC38
0x0802EC54	0x0802EC63	thumb	list_insertHeadSingle
0x0802EC64	0x0802EC79	thumb	list_insertTailSingle
0x0802EC7C	0x0802EC8F	thumb	list_takeHeadSingle
0x0802EC90	0x0802EC9D	thumb	list_isEmpty
0x0802ECA0	0x0802ECA3	thumb	list_getHead
0x0802ECA4	0x0802ECA7	thumb	list_getTail
0x0802ECA8	0x0802ECAB	thumb	list_getNext
0x0802ECAC	0x0802ECAF	thumb	list_getPrevious
0x0802ECB0	0x0802ECC7	thumb	list_insertHead
0x0802ECC8	0x0802ECDF	thumb	list_insertTail
0x0802ECE0	0x0802ECF7	thumb	list_insertBefore
0x0802ECF8	0x0802ED0F	thumb	list_insertAfter
0x0802ED10	0x0802ED2B	thumb	list_takeHead
0x0802ED2C	0x0802ED47	thumb	list_takeTail
