# addr	mode	name  (STT_FUNC from a byte-matching decomp ELF; blank name = let the finder synthesise one)
0x08030774	thumb	sub_8030774
0x080307E0	thumb	sub_80307E0
0x08030800	thumb	sub_8030800
0x0803080C	thumb	sub_803080C
0x0803083C	thumb	sub_803083C
0x08030918	thumb	sub_8030918
0x080309B0	thumb	sub_80309B0
0x08030AFC	thumb	sub_8030AFC
0x08030C3C	thumb	sub_8030C3C
0x08030E5C	thumb	sub_8030E5C
0x08030E60	thumb	sub_8030E60
0x08030E74	thumb	sub_8030E74
0x08030E80	thumb	sub_8030E80
0x08030E90	thumb	sub_8030E90
0x08030EA0	thumb	sub_8030EA0
0x08030EB0	thumb	sub_8030EB0
0x08030ECC	thumb	sub_8030ECC
0x08030ED8	thumb	sub_8030ED8
0x08030EE8	thumb	sub_8030EE8
0x08030F08	thumb	sub_8030F08
0x08030F20	thumb	sub_8030F20
0x08030F28	thumb	sub_8030F28
0x08030F34	thumb	sub_8030F34
0x08030F88	thumb	sub_8030F88
0x08030FEC	thumb	sub_8030FEC
0x08031000	thumb	sub_8031000
0x08031038	thumb	sub_8031038
0x0803104C	thumb	sub_803104C
0x08031054	thumb	sub_8031054
0x08031064	thumb	sub_8031064
0x080310E8	thumb	sub_80310E8
0x080310F4	thumb	sub_80310F4
0x08031100	thumb	sub_8031100
0x080311B4	thumb	sub_80311B4
0x080312DC	thumb	sub_80312DC
0x080312E8	thumb	sub_80312E8
0x0803134C	thumb	sub_803134C
0x08031358	thumb	sub_8031358
0x08031368	thumb	sub_8031368
0x08031374	thumb	sub_8031374
0x080313B4	thumb	sub_80313B4
0x08031400	thumb	sub_8031400
0x08031418	thumb	sub_8031418
0x08031468	thumb	loadtrack_loadTileset
0x0803159C	thumb	sub_803159C
0x080316C8	thumb	sub_80316C8
0x08031990	thumb	loadtrack_8031990
0x08031E14	thumb	sub_8031E14
0x08031ED8	thumb	sub_8031ED8
0x08031F9C	thumb	loadtrack_8031F9C
0x08032220	thumb	sub_8032220
0x08032428	thumb	sub_8032428
0x080324B4	thumb	sub_80324B4
0x08032798	thumb	sub_8032798
0x0803285C	thumb	sub_803285C
0x080328D4	thumb	sub_80328D4
0x08032904	thumb	sub_8032904
0x08032974	thumb	sub_8032974
0x08032990	thumb	sub_8032990
0x080329B8	thumb	sub_80329B8
0x080329BC	thumb	sub_80329BC
0x080329E0	thumb	sub_80329E0
0x08032A18	thumb	sub_8032A18
0x08032A54	thumb	loadtrack_loadCoinLocations
0x08032AA0	thumb	sub_8032AA0
0x08032AD0	thumb	sub_8032AD0
0x08032B10	thumb	sub_8032B10
0x08032B50	thumb	sub_8032B50
0x08032B94	thumb	sub_8032B94
0x08032BC8	thumb	sub_8032BC8
0x08032C2C	thumb	sub_8032C2C
0x08032C38	thumb	sub_8032C38
0x08032C44	thumb	sub_8032C44
0x08032C50	thumb	sub_8032C50
0x08032C74	thumb	sub_8032C74
0x08032C8C	thumb	sub_8032C8C
0x08032CA0	thumb	sub_8032CA0
0x08032CD0	thumb	sub_8032CD0
0x08032D0C	thumb	sub_8032D0C
0x08032D44	thumb	sub_8032D44
0x08032D80	thumb	sub_8032D80
0x08032D9C	thumb	sub_8032D9C
0x08032E8C	thumb	sub_8032E8C
0x08032ED8	thumb	sub_8032ED8
0x0803313C	thumb	sub_803313C
0x080334A0	thumb	sub_80334A0
0x08033794	thumb	sub_8033794
0x08033838	thumb	sub_8033838
0x08033998	thumb	sub_8033998
0x08033A08	thumb	sub_8033A08
0x08033A5C	thumb	sub_8033A5C
0x08033BAC	thumb	sub_8033BAC
0x08033BBC	thumb	sub_8033BBC
0x08033BDC	thumb	sub_8033BDC
0x08033BEC	thumb	sub_8033BEC
0x08033BFC	thumb	sub_8033BFC
0x08033C58	thumb	sub_8033C58
0x08033CB4	thumb	sub_8033CB4
0x08033D14	thumb	loadtrack_loadSky
0x08033F14	thumb	sub_8033F14
0x08034044	thumb	sub_8034044
0x08034148	thumb	nullsub_3
0x0803414C	thumb	sub_803414C
0x08034220	thumb	nullsub_4
0x08034224	thumb	sub_8034224
0x0803456C	thumb	sub_803456C
0x080345AC	thumb	sub_80345AC
0x080345E0	thumb	sub_80345E0
0x0803478C	thumb	sub_803478C
0x080347B8	thumb	sub_80347B8
0x08034984	thumb	sub_8034984
0x080349B0	thumb	sub_80349B0
0x08034AB0	thumb	sub_8034AB0
0x08034CDC	thumb	sub_8034CDC
0x08034D08	thumb	sub_8034D08
0x08034E0C	thumb	sub_8034E0C
0x08034E20	thumb	sub_8034E20
0x08034F5C	thumb	nullsub_5
0x08034F60	thumb	sub_8034F60
